% Moku:Go Oscilloscope
% Channel A (on)
% Channel B (off)
% Time span 1.000 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output B (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
% 
% Acquired 2026-04-30 T 13:57:31 +0200
% Time (s), Channel A (Input A) (V)
-1.098720000000e-04, -1.221300e-03
-1.088160000000e-04, -2.442599e-03
-1.077600000000e-04, -1.221300e-03
-1.067040000000e-04, -1.221300e-03
-1.056480000000e-04, -1.221300e-03
-1.045920000000e-04, -1.221300e-03
-1.035360000000e-04, -2.442599e-03
-1.024800000000e-04, -1.221300e-03
-1.014240000000e-04, -2.442599e-03
-1.003680000000e-04, -1.221300e-03
-9.931200000000e-05, -1.221300e-03
-9.825600000000e-05, -1.221300e-03
-9.720000000000e-05, -1.221300e-03
-9.614400000000e-05, -1.221300e-03
-9.508800000000e-05, -2.442599e-03
-9.403200000000e-05, -1.221300e-03
-9.297600000000e-05, -3.663899e-03
-9.192000000000e-05, -1.221300e-03
-9.086400000000e-05, -1.221300e-03
-8.980800000000e-05, -1.221300e-03
-8.875200000000e-05, -1.221300e-03
-8.769600000000e-05, -1.221300e-03
-8.664000000000e-05, -2.442599e-03
-8.558400000000e-05, -2.442599e-03
-8.452800000000e-05, -1.221300e-03
-8.347200000000e-05, -2.442599e-03
-8.241600000000e-05, -1.221300e-03
-8.136000000000e-05, -1.221300e-03
-8.030400000000e-05, -1.221300e-03
-7.924800000000e-05, -1.221300e-03
-7.819200000000e-05, -2.442599e-03
-7.713600000000e-05, -1.221300e-03
-7.608000000000e-05, -1.221300e-03
-7.502400000000e-05, -1.221300e-03
-7.396800000000e-05, -1.221300e-03
-7.291200000000e-05, -1.221300e-03
-7.185600000000e-05, -1.221300e-03
-7.080000000000e-05, -1.221300e-03
-6.974400000000e-05, -1.221300e-03
-6.868800000000e-05, -1.221300e-03
-6.763200000000e-05, -1.221300e-03
-6.657600000000e-05, -1.221300e-03
-6.552000000000e-05, -2.442599e-03
-6.446400000000e-05, -2.442599e-03
-6.340800000000e-05, -1.221300e-03
-6.235200000000e-05, -1.221300e-03
-6.129600000000e-05, -1.221300e-03
-6.024000000000e-05, -1.221300e-03
-5.918400000000e-05, -1.221300e-03
-5.812800000000e-05, -1.221300e-03
-5.707200000000e-05, -1.221300e-03
-5.601600000000e-05, -2.442599e-03
-5.496000000000e-05, -1.221300e-03
-5.390400000000e-05, -1.221300e-03
-5.284800000000e-05, -1.221300e-03
-5.179200000000e-05, -1.221300e-03
-5.073600000000e-05, -1.221300e-03
-4.968000000000e-05, -1.221300e-03
-4.862400000000e-05, -1.221300e-03
-4.756800000000e-05, -1.221300e-03
-4.651200000000e-05, -1.221300e-03
-4.545600000000e-05, -1.221300e-03
-4.440000000000e-05, -1.221300e-03
