% Moku:Go Spectrum Analyzer
% Input 1 (on), AC, 30 MHz, 1 MOhm, 10 Vpp
% Input 2 (off), AC, 30 MHz, 1 MOhm, 10 Vpp
% Start freq 400 Hz, stop freq 600 Hz, RBW 977.5 mHz (Auto mode), Hann window, Video filter off
% Averaging: 1 spectra per frame, 10 frame averages
% Output 1 (on) - 500.000 000 Hz, 1.000 Vpp
% Output 2 (off) - 20.000 000 000 000 MHz, 1.000 Vpp
% 
% Acquired 2026-04-30 T 13:18:33 +0200
% Frequency (Hz), Input 1 (dBm)
5.157633374135e+02, -8.378041e+01
5.159620195627e+02, -8.315021e+01
5.161607017120e+02, -8.092860e+01
5.163593838612e+02, -7.922869e+01
5.165580660105e+02, -7.841697e+01
5.167567481597e+02, -7.827205e+01
5.169554303090e+02, -7.899757e+01
5.171541124582e+02, -8.009242e+01
5.173527946075e+02, -8.021895e+01
5.175514767567e+02, -8.100718e+01
5.177501589060e+02, -8.191507e+01
5.179488410552e+02, -8.224667e+01
5.181475232045e+02, -8.164511e+01
5.183462053537e+02, -8.118006e+01
5.185448875030e+02, -8.066096e+01
5.187435696522e+02, -8.128148e+01
5.189422518015e+02, -8.258013e+01
5.191409339507e+02, -8.200289e+01
5.193396161000e+02, -8.150401e+01
5.195382982492e+02, -8.169523e+01
5.197369803985e+02, -8.238180e+01
5.199356625477e+02, -8.342401e+01
5.201343446970e+02, -8.270642e+01
5.203330268462e+02, -8.105905e+01
5.205317089955e+02, -7.997066e+01
5.207303911448e+02, -7.943183e+01
5.209290732940e+02, -7.906185e+01
5.211277554433e+02, -7.919093e+01
5.213264375925e+02, -7.932302e+01
5.215251197418e+02, -7.935982e+01
5.217238018910e+02, -7.949192e+01
5.219224840403e+02, -7.984103e+01
5.221211661895e+02, -8.028651e+01
5.223198483388e+02, -8.080870e+01
5.225185304880e+02, -8.177077e+01
5.227172126373e+02, -8.234952e+01
5.229158947865e+02, -8.198633e+01
5.231145769358e+02, -8.245965e+01
5.233132590850e+02, -8.393460e+01
5.235119412343e+02, -8.251644e+01
5.237106233835e+02, -8.126162e+01
5.239093055328e+02, -8.076747e+01
5.241079876820e+02, -8.098794e+01
5.243066698313e+02, -8.220681e+01
5.245053519805e+02, -8.362642e+01
5.247040341298e+02, -8.053530e+01
5.249027162790e+02, -7.871571e+01
5.251013984283e+02, -7.828202e+01
5.253000805775e+02, -7.836643e+01
5.254987627268e+02, -7.958908e+01
5.256974448760e+02, -8.190754e+01
5.258961270253e+02, -8.427269e+01
5.260948091745e+02, -8.402936e+01
5.262934913238e+02, -8.412441e+01
5.264921734730e+02, -8.409417e+01
5.266908556223e+02, -8.391080e+01
5.268895377715e+02, -8.216858e+01
5.270882199208e+02, -8.154188e+01
5.272869020700e+02, -8.157414e+01
5.274855842193e+02, -8.191611e+01
